city,topic,volume,continent
London,#Inauguration,731526,Europe
London,#AusOpen,59293,Europe
London,#London,23228,Europe
London,#andersonprog,None,Europe
London,#AFCON2017,19065,Europe
London,Michelle Obama,108587,Europe
London,Hillary,250072,Europe
London,Melania Trump,79185,Europe
London,BlackRock,None,Europe
London,Saido Berahino,None,Europe
London,Kellyanne Conway,29341,Europe
London,First Lady,245971,Europe
London,Barry Hawkins,None,Europe
London,House of Cards,28153,Europe
London,Andre Ayew,None,Europe
London,Jessica McGraa,None,Europe
London,Alex Hales,None,Europe
London,Joleon Lescott,None,Europe
London,Kensington Palace,None,Europe
London,Kay Burley,None,Europe
London,Project Bluebook,None,Europe
London,Begovic,None,Europe
London,Kincora,None,Europe
London,#NHCPerfume,22834,Europe
London,#NationalCheeseLoversDay,None,Europe
London,#penguinawarenessday,18801,Europe
London,#friyay,None,Europe
London,#NEVERSAYGOODBYE2NE1,302680,Europe
London,#RIPGabeTheDog,None,Europe
London,#WhyICantTalkToMyEx,None,Europe
London,#NewMusicFriday,None,Europe
London,#datalab,None,Europe
London,#IFindItKindOfSad,None,Europe
London,#LiveAtFive,None,Europe
London,#buildbridgesnotwalls,None,Europe
London,#SUPREMEGYAL,None,Europe
London,#FlashbackFriday,None,Europe
London,#cheeseyfilms,None,Europe
London,#PrayForTehran,None,Europe
Athens,#InaugurationDay,358004,Europe
Athens,#tatianalive,None,Europe
Athens,White House,402905,Europe
Athens,Ουασινγκτον,None,Europe
Athens,Μελανια,None,Europe
Athens,Βαλαντη,None,Europe
Athens,Αμερικη,None,Europe
Athens,#thevoicegr,None,Europe
Athens,All Star Game,110148,Europe
Athens,Γιακουματος,None,Europe
Athens,#shoppingstar,None,Europe
Athens,Τατιανα Στεφανιδου,None,Europe
Athens,#FNBPAO,None,Europe
Athens,Παλμυρα,None,Europe
Athens,Η Γερμανια,None,Europe
Athens,Αθηνας,None,Europe
Athens,Schaeuble,None,Europe
Athens,Ανθυπατος Μουλοπουλος,None,Europe
Athens,Γκαμπια,None,Europe
Athens,Donald Trump,991754,Europe
Athens,Grexit,None,Europe
Athens,Σινγκλετον,None,Europe
Athens,#giakoumatos,None,Europe
Athens,#TouchMusicVideo,251896,Europe
Athens,#ΛΙΤΟΤΗΤΑ_ΤΕΛΟΣ,None,Europe
Athens,#Rigopiano,46388,Europe
Athens,#ThankYouObama,411527,Europe
Athens,#Panathinaikos,None,Europe
Athens,#PAOKLEV,None,Europe
Athens,#paofc,None,Europe
Athens,#paoplat,None,Europe
Paris,#PrimaireLeDebat,73743,Europe
Paris,Donald Trump,991754,Europe
Paris,Valls,45364,Europe
Paris,#AusOpen,59416,Europe
Paris,#TPMP,19352,Europe
Paris,#CIVRDC,12901,Europe
Paris,#Inauguration,767269,Europe
Paris,Hillary Clinton,96297,Europe
Paris,Aurier,None,Europe
Paris,Memphis,143478,Europe
Paris,Les Ivoiriens,None,Europe
Paris,Léopards,None,Europe
Paris,Martin Fourcade,None,Europe
Paris,Palmyre,None,Europe
Paris,Cadoré,None,Europe
Paris,Kid Cudi,None,Europe
Paris,Sud-Ouest,None,Europe
Paris,Cote,31694,Europe
Paris,#NEVERSAYGOODBYE2NE1,306935,Europe
Paris,#HouseOfCards,None,Europe
Paris,#NHCPerfume,23089,Europe
Paris,#VendrediLecture,None,Europe
Paris,#APB2017,None,Europe
Paris,#BoulogneBillancourt,None,Europe
Paris,#SDT2017,None,Europe
Paris,#GERCRO,None,Europe
Paris,#TiersLieuxPhD,None,Europe
Paris,#FCMMHSC,None,Europe
Paris,#FCGBTFC,None,Europe
Paris,#4GBox,None,Europe
Paris,#CedricHerrou,None,Europe
Paris,#ASMFCL,None,Europe
Paris,#FCNPSG,None,Europe
Paris,#KiKaDi,None,Europe
Paris,#MARTOG,None,Europe
Paris,#NO2017,None,Europe
Paris,#LyonOM,None,Europe
Berlin,#Inauguration,767269,Europe
Berlin,#tbBeetches,None,Europe
Berlin,#NEVERSAYGOODBYE2NE1,306935,Europe
Berlin,#DisruptJ20,82667,Europe
Berlin,#F95SCP,None,Europe
Berlin,Lawine in Italien,None,Europe
Berlin,Achtelfinale,None,Europe
Berlin,Migräne,None,Europe
Berlin,#GERCRO,None,Europe
Berlin,#shoppingqueen,None,Europe
Berlin,#EM2024,None,Europe
Berlin,#jubert,None,Europe
Berlin,#Wannseekonferenz,None,Europe
Berlin,#GruenenWoche,None,Europe
Berlin,#Koblenz,None,Europe
Berlin,#Kleinheisler,None,Europe
Berlin,#penguinawarenessday,19005,Europe
Berlin,#S04FCI,None,Europe
Berlin,#Plattner,None,Europe
Berlin,#FCATSG,None,Europe
Berlin,#hoodiefriday,None,Europe
Berlin,#bridgesnotwalls,44116,Europe
Berlin,#takeshiscastle,None,Europe
Berlin,#FridayFeeling,45535,Europe
Berlin,#notmypresident,51995,Europe
Berlin,#Sordo,None,Europe
Berlin,#Palmyra,None,Europe
Berlin,#SCFFCB,None,Europe
Berlin,#einbuchstabedanebendiagnose,None,Europe
Berlin,#igw2017,None,Europe
Berlin,#Höcke,None,Europe
Berlin,#svwbvb,None,Europe
Berlin,#Melbourne,26731,Europe
Berlin,#EULCS,None,Europe
Berlin,#Harburg,None,Europe
Berlin,#Winterkorn,None,Europe
Berlin,#Rigopiano,46388,Europe
Berlin,#Illner,None,Europe
Berlin,#WhoseMuseum,None,Europe
Berlin,#wef17,43385,Europe
Berlin,#Gambia,54212,Europe
Berlin,#TouchMusicVideo,251896,Europe
Berlin,#Bundestag,None,Europe
Berlin,#Streif,None,Europe
Berlin,#M05KOE,None,Europe
Berlin,#fussballbild,None,Europe
Berlin,#Frauentausch,None,Europe
Berlin,#WOBHSV,None,Europe
Berlin,#Lanz,None,Europe
New York,#Inauguration,731526,America]
New York,#ThankYouObamas,66310,America]
New York,El Chapo,269197,America]
New York,#DisruptJ20,80978,America]
New York,#USofScience,None,America]
New York,#IFindItKindOfSad,None,America]
New York,Ralph Lauren,16223,America]
New York,Zach Orr,None,America]
New York,Chris Matthews,None,America]
New York,Makonnen,None,America]
New York,Imperial March,None,America]
New York,John Boehner,None,America]
New York,Franklin Square,None,America]
New York,Trumps to the White House,None,America]
New York,#MourningInAmerica,None,America]
New York,#FlashbackFriday,None,America]
New York,#FineWomenFriday,None,America]
New York,#WatchUsRun,None,America]
New York,#NEVERSAYGOODBYE2NE1,302680,America]
New York,#PenguinAwarenessDay,18800,America]
New York,#NationalCheeseLoversDay,None,America]
New York,#WhyICantTalkToMyEx,None,America]
New York,#NewMusicFriday,None,America]
New York,#MyPersonalWorldRecord,None,America]
New York,#HouseOfCards,None,America]
